CFHTLS c71-w1                  02:17:39.60  -09:05:56.40  0.280  P   ABELL 339                      02:17:43.60  -09:06:18.00  0.235  shan+12               2012ApJ...748...56S     8.182   1.304  25.883   4.127  40.665   6.484  49.499   7.892   4.409   0.296  12.010   0.999  19.884   1.861
CFHTLS c72-w1                  02:17:54.24  -09:50:56.40  0.310  NA  NA NA                          NA           NA            NA     shan+12               2012ApJ...748...56S     3.476   0.726  10.493   2.193  16.213   3.389  19.478   4.071   2.945   0.291   7.284   0.886  11.360   1.536
XLSS J021842.8-053254          02:18:42.72  -05:32:52.80  0.380  N   XLSSC 67                       02:18:42.72  -05:32:52.80  0.380  shan+12               2012ApJ...748...56S     1.539   0.089   4.498   0.260   6.871   0.397   8.108   0.469   1.960   0.060   4.407   0.163   6.512   0.264
CFHTLS c70-w1                  02:19:20.88  -07:35:06.00  0.700  NA  NA NA                          NA           NA            NA     shan+12               2012ApJ...748...56S     0.269   0.046   0.759   0.131   1.146   0.198   1.289   0.223   0.764   0.086   1.412   0.183   1.887   0.260
SL J0219.6-0453                02:19:41.50  -04:52:31.00  0.332  P   SWIRE_CL J021945.1-045148      02:19:41.50  -04:52:30.90  0.349  hamana+09             2009PASJ...61..833H     0.951   0.362   2.586   0.986   3.671   1.400   4.257   1.621   1.411   0.301   2.877   0.745   4.036   1.138
CFHTLS c69-w1                  02:19:47.52  -08:07:12.00  0.710  NA  NA NA                          NA           NA            NA     shan+12               2012ApJ...748...56S     0.203   0.046   0.565   0.127   0.849   0.191   0.953   0.214   0.629   0.095   1.129   0.194   1.487   0.271
CFHTLS c79-w1                  02:20:51.84  -04:46:55.20  0.040  P   CFHTLS:[DAC2011] W1-1913       02:20:50.28  -04:47:10.30  0.650  shan+12               2012ApJ...748...56S     0.874   0.100   2.251   0.258   3.287   0.377   4.099   0.470   1.186   0.078   2.450   0.192   3.460   0.293
RCS J0220.9-0333               02:20:55.70  -03:33:10.00  1.030  N   RCS J0220.9-0333               02:20:55.70  -03:33:10.00  1.030  sereno&13             2013MNRAS.434..878S     1.282   0.332   2.887   1.213   3.945   2.087   4.246   2.348   2.176   0.454   3.921   1.550   5.116   2.523
RCS J0221.6-0347               02:21:42.00  -03:21:47.00  1.020  N   RzCS 52                        02:21:42.00  -03:21:47.00  1.016  sereno&13             2013MNRAS.434..878S     0.722   0.240   1.244   0.456   1.544   0.609   1.622   0.652   1.221   0.339   1.788   0.625   2.139   0.808
XMM-CFHTLS 102760              02:21:45.38  -03:46:16.32  0.470  P   RzCS 56                        02:21:45.80  -03:46:08.00  0.429  kettula+15            2015MNRAS.451.1460K     1.944   0.987   6.260   3.180   9.210   4.675  10.760   5.462   2.351   0.611   5.465   1.727   8.226   2.860
